Query Typed,Profile Name,Country Iso Code,Displayed Name,Utc Timestamp,Action,Is Kids,Section,Device,Month,YearMonth
marco polo,olu,AR,Alejandro Magno: La creación de un dios,2026-03-01 22:23:04,select,0,title_results,iPhone,3,2026-03
marco polo,olu,AR,Marco Polo: One Hundred Eyes (Trailer),2026-03-01 22:22:48,supplemental-play,0,title_results,iPhone,3,2026-03
marco polo,olu,AR,Marco Polo: Cien Ojos,2026-03-01 22:22:48,select,0,title_results,iPhone,3,2026-03
marco polo,olu,AR,Marco Polo: Season 2 (Trailer),2026-03-01 22:22:33,supplemental-play,0,title_results,iPhone,3,2026-03
marco polo,olu,AR,Marco Polo,2026-03-01 22:22:31,select,0,title_results,iPhone,3,2026-03
scho,UMA,AR,The School for Good and Evil,2026-02-24 11:46:52,play,0,title_results,HTML 5,2,2026-02
the play,olu,AR,The Playlist,2026-02-24 02:38:37,select,0,title_results,iPhone,2,2026-02
schoo,UMA,ES,Work It PVS Trailer B,2026-02-22 22:30:13,supplemental-play,0,title_results,iPhone,2,2026-02
schoo,UMA,ES,Work it: Al ritmo de los sueños,2026-02-22 22:30:12,select,0,title_results,iPhone,2,2026-02
schoo,UMA,ES,The School for Good and Evil,2026-02-22 22:29:57,download,0,title_results,iPhone,2,2026-02
schoo,UMA,ES,Trailer 2: The School for Good and Evil,2026-02-22 22:29:56,supplemental-play,0,title_results,iPhone,2,2026-02
schoo,UMA,ES,The School for Good and Evil,2026-02-22 22:29:56,select,0,title_results,iPhone,2,2026-02
,UMA,IT,The Kissing Booth_Autohook_4_16x9,2026-02-21 22:37:38,supplemental-play,0,prequery_results,iPhone,2,2026-02
,UMA,IT,El stand de los besos,2026-02-21 22:37:38,select,0,prequery_results,iPhone,2,2026-02
happ,UMA,IT,Happy Gilmore 2,2026-02-21 22:31:05,download,0,title_results,iPhone,2,2026-02
happ,UMA,IT,Happy Gilmore 2,2026-02-21 22:31:03,select,0,title_results,iPhone,2,2026-02
happ,UMA,IT,Clip 4: Happy Gilmore 2,2026-02-21 22:31:03,supplemental-play,0,title_results,iPhone,2,2026-02
en el barro,olu,CH,"In the Mud: Season 2: ""Episode 1""",2026-02-13 16:35:56,play,0,title_results,HTML 5,2,2026-02
parasi,olu,AR,Parasite,2026-01-30 01:54:16,select,0,title_results,iPhone,1,2026-01
sky,olu,AR,Trailer: Skyscraper Live,2026-01-24 02:36:24,supplemental-play,0,title_results,iPhone,1,2026-01
sky,olu,AR,Trailer: Skyscraper Live,2026-01-24 02:36:00,supplemental-play,0,title_results,iPhone,1,2026-01
sky,olu,AR,Skyscraper Live,2026-01-24 02:35:02,add,0,title_results,iPhone,1,2026-01
sky,olu,AR,Trailer: Skyscraper Live,2026-01-24 02:35:00,supplemental-play,0,title_results,iPhone,1,2026-01
sky,olu,AR,Skyscraper Live,2026-01-24 02:34:59,select,0,title_results,iPhone,1,2026-01
el irlandes,SIL,AR,El Irlandés,2026-01-17 01:16:59,select,0,title_results,iPad,1,2026-01
martin scorsese,SIL,AR,El Irlandés,2026-01-16 23:58:04,play,0,suggestion_results,MVPD STB,1,2026-01
martin scorsese,SIL,AR,El Irlandés,2026-01-16 23:53:28,play,0,suggestion_results,MVPD STB,1,2026-01
martin scorsese,SIL,AR,El Irlandés,2026-01-16 23:53:08,select,0,suggestion_results,MVPD STB,1,2026-01
martin scorsese,SIL,AR,El Irlandés: Una charla detrás de cámaras,2026-01-16 23:52:51,select,0,suggestion_results,MVPD STB,1,2026-01
scor,SIL,AR,Martin Scorsese,2026-01-16 23:52:03,select,0,suggestion_results,MVPD STB,1,2026-01
stand up,olu,AR,Marcello Hernández: American Boy,2026-01-15 23:14:35,play,0,title_results,iPhone,1,2026-01
stand up,olu,AR,Marcello Hernández: American Boy,2026-01-15 23:14:31,select,0,title_results,iPhone,1,2026-01
str,olu,AR,Stranger Things,2026-01-12 16:25:54,select,0,title_results,iPhone,1,2026-01
bajo el ,olu,AR,En la Toscana,2026-01-12 04:30:16,add,0,suggestion_results,HTML 5,1,2026-01
bajo el ,olu,AR,Bajo el sol de Toscana,2026-01-12 04:29:53,select,0,suggestion_results,HTML 5,1,2026-01
,olu,AR,Clip 5: Stranger Things 5,2026-01-12 03:03:09,supplemental-play,0,prequery_results,iPhone,1,2026-01
,olu,AR,Stranger Things,2026-01-12 03:03:08,select,0,prequery_results,iPhone,1,2026-01
stra,olu,AR,Una última aventura: Detrás de cámaras de Stranger Things 5,2026-01-11 05:27:24,add,0,title_results,HTML 5,1,2026-01
365,UMA,AR,The Next 365 Days,2026-01-11 01:13:05,play,0,title_results,HTML 5,1,2026-01
tor,SIL,AR,Toro salvaje,2026-01-10 23:18:16,play,0,title_results,MVPD STB,1,2026-01
tor,SIL,AR,Toro salvaje,2026-01-10 23:17:27,select,0,title_results,MVPD STB,1,2026-01
365,UMA,AR,365 días más,2026-01-10 17:23:34,play,0,title_results,HTML 5,1,2026-01
scor,SIL,AR,Buenos muchachos,2026-01-10 16:18:27,play,0,title_results,iPad,1,2026-01
scor,SIL,AR,Buenos muchachos,2026-01-10 16:18:21,select,0,title_results,iPad,1,2026-01
scor,olu,AR,La isla siniestra,2026-01-10 01:14:40,select,0,title_results,iPhone,1,2026-01
scor,olu,AR,Shutter Island_hook_01_16x9_backfill,2026-01-10 01:14:40,supplemental-play,0,title_results,iPhone,1,2026-01
is,olu,AR,La isla siniestra,2026-01-10 00:26:34,play,0,title_results,MVPD STB,1,2026-01
is,olu,AR,La isla siniestra,2026-01-10 00:26:06,select,0,title_results,MVPD STB,1,2026-01
scors,olu,AR,Buenos muchachos,2026-01-10 00:23:17,select,0,title_results,iPhone,1,2026-01
scors,olu,AR,GoodFellas_hook_01_16x9_backfill,2026-01-10 00:23:17,supplemental-play,0,title_results,iPhone,1,2026-01
scors,olu,AR,Buenos muchachos,2026-01-10 00:23:08,select,0,title_results,iPhone,1,2026-01
scors,olu,AR,GoodFellas_hook_01_16x9_backfill,2026-01-10 00:23:08,supplemental-play,0,title_results,iPhone,1,2026-01
scors,olu,AR,GoodFellas_hook_01_16x9_backfill,2026-01-10 00:21:34,supplemental-play,0,title_results,iPhone,1,2026-01
scors,olu,AR,Buenos muchachos,2026-01-10 00:21:34,select,0,title_results,iPhone,1,2026-01
ciencu,UMA,AR,365 días,2026-01-09 03:41:01,play,0,title_results,HTML 5,1,2026-01
peop,olu,AR,Trailer: People We Meet on Vacation,2026-01-08 23:22:53,supplemental-play,0,title_results,iPhone,1,2026-01
peop,olu,AR,People We Meet on Vacation,2026-01-08 23:22:53,select,0,title_results,iPhone,1,2026-01
punch drunk love,SIL,AR,Los Meyerowitz: La familia no se elige (Historias nuevas y selectas),2026-01-08 00:02:22,select,0,title_results,iPad,1,2026-01
nuestros amantes,SIL,AR,Nuestros Amantes,2026-01-01 18:36:14,play,0,title_results,iPad,1,2026-01
nuestros amantes,SIL,AR,Nuestros Amantes,2026-01-01 18:35:50,select,0,title_results,iPad,1,2026-01
historia de un matrimonio ,SIL,AR,Historia de un matrimonio,2025-12-22 00:44:38,play,0,title_results,iPad,12,2025-12
historia de un matrimonio ,SIL,AR,Historia de un matrimonio,2025-12-22 00:44:34,select,0,title_results,iPad,12,2025-12
21 g,olu,AR,Elefante blanco,2025-12-21 23:51:58,play,0,title_results,MVPD STB,12,2025-12
21 g,olu,AR,Elefante blanco,2025-12-21 22:04:28,play,0,title_results,MVPD STB,12,2025-12
21 g,olu,AR,Elefante blanco,2025-12-21 22:03:00,select,0,title_results,MVPD STB,12,2025-12
españa,olu,AR,Amores Perros_hook_02_16x9,2025-12-19 23:50:33,supplemental-play,0,title_results,iPhone,12,2025-12
españa,olu,AR,Amores perros,2025-12-19 23:50:32,select,0,title_results,iPhone,12,2025-12
german,olu,AR,Dark (Trailer),2025-12-12 02:51:35,supplemental-play,0,title_results,HTML 5,12,2025-12
german,olu,AR,German,2025-12-12 02:48:07,select,0,suggestion_results,HTML 5,12,2025-12
german,olu,AR,German-Language Movies,2025-12-12 02:48:03,select,0,suggestion_results,HTML 5,12,2025-12
home,olu,AR,El libro de la vida,2025-12-12 02:39:20,play,0,title_results,HTML 5,12,2025-12
viena,olu,AR,Viena,2025-12-10 17:35:34,select,0,suggestion_results,HTML 5,12,2025-12
el li,olu,AR,El libro de la vida,2025-12-08 09:35:06,play,0,title_results,HTML 5,12,2025-12
amores,olu,AR,Amores perros,2025-12-07 22:36:09,play,0,title_results,HTML 5,12,2025-12
amores,olu,AR,Amores perros,2025-12-07 02:39:27,play,0,title_results,HTML 5,12,2025-12
amore,SIL,AR,Amores perros,2025-12-07 00:36:22,play,0,title_results,MVPD STB,12,2025-12
amore,SIL,AR,Amores perros,2025-12-07 00:35:55,select,0,title_results,MVPD STB,12,2025-12
almodovar,olu,AR,Amores perros,2025-12-07 00:34:47,select,0,title_results,iPhone,12,2025-12
almodovar,olu,AR,Amores Perros_hook_03_16x9,2025-12-07 00:34:47,supplemental-play,0,title_results,iPhone,12,2025-12
almodovar,olu,AR,Nine Queens_hook_01,2025-12-07 00:34:37,supplemental-play,0,title_results,iPhone,12,2025-12
almodovar,olu,AR,Nueve Reinas,2025-12-07 00:34:36,select,0,title_results,iPhone,12,2025-12
almodovar,olu,AR,The Room Next Door_hook_05_16x9,2025-12-07 00:34:20,supplemental-play,0,title_results,iPhone,12,2025-12
almodovar,olu,AR,La habitación de al lado,2025-12-07 00:34:20,select,0,title_results,iPhone,12,2025-12
peliculas españolas,olu,AR,El silencio del pantano,2025-12-07 00:33:56,select,0,title_results,iPhone,12,2025-12
peliculas españolas,olu,AR,Trailer: The Silence of the Marsh,2025-12-07 00:33:56,supplemental-play,0,title_results,iPhone,12,2025-12
josh ,olu,AR,Josh O'Connor,2025-12-02 01:44:07,select,0,suggestion_results,HTML 5,12,2025-12
bla,olu,AR,Black Mirror,2025-11-29 16:18:18,select,0,title_results,iPhone,11,2025-11
la diplo,olu,AR,Season 3 Teaser: The Diplomat,2025-10-29 14:08:47,supplemental-play,0,title_results,iPhone,10,2025-10
la diplo,olu,AR,La diplomática,2025-10-29 14:08:46,select,0,title_results,iPhone,10,2025-10
shes the man,UMA,AR,Bailando,2025-10-24 01:38:12,play,0,title_results,HTML 5,10,2025-10
enola holmes,olu,AR,Enola Holmes 2,2025-10-09 00:34:07,play,0,title_results,HTML 5,10,2025-10
gil,olu,AR,"Gilmore Girls: Season 3: ""Haunted Leg""",2025-09-17 03:47:26,play,0,title_results,iPhone,9,2025-09
gil,olu,AR,Las chicas Gilmore,2025-09-17 03:47:22,select,0,title_results,iPhone,9,2025-09
gil,olu,AR,"Gilmore Girls: Season 2: ""Sadie, Sadie...""",2025-09-16 22:42:22,play,0,title_results,HTML 5,9,2025-09
div,UMA,AR,"Community Squad: Season 1: ""Urban Guard""",2025-09-16 01:37:43,play,0,title_results,HTML 5,9,2025-09
di,olu,AR,Reclutas,2025-09-09 12:26:37,add,0,title_results,HTML 5,9,2025-09
di,olu,AR,División Palermo,2025-09-09 01:10:25,play,0,title_results,HTML 5,9,2025-09
divi,olu,AR,División Palermo,2025-09-06 18:37:58,play,0,title_results,HTML 5,9,2025-09
